scenario,target,fault,run_id,metric,n_services,delta_w_pct,rho_model,rho_hop,rho_random,prec_model,prec_hop,prec_random
payment_mem,payment,mem,2,cpu,6,-1.1693889691235173,-0.6375355777548621,-0.3380617018914066,-0.3946648814672956,0.5,0.5,0.5
payment_mem,payment,mem,2,mem,6,-1.1693889691235173,-0.4394802124588286,-0.3380617018914066,-0.5408987230262506,0.5,0.5,0.5
payment_mem,payment,mem,3,cpu,6,-1.5826425399692439,-0.7775419143502353,0.1690308509457033,0.8451542547285165,0.0,0.0,0.5
payment_mem,payment,mem,3,mem,6,-1.5826425399692439,-0.4058397249567139,-0.50709255283711,-0.4638168285219587,0.5,0.5,0.5
payment_socket,payment,socket,1,cpu,6,-1.884614870171184,0.028571428571428574,-0.1690308509457033,-0.6,0.0,0.0,0.5
payment_socket,payment,socket,1,mem,6,-1.884614870171184,0.5161002296110789,0.1690308509457033,-0.27322953332351235,0.5,0.5,0.5
payment_socket,payment,socket,2,cpu,6,-0.2928953802785137,0.028571428571428574,-0.6761234037828132,-0.8857142857142858,0.0,0.0,0.0
payment_socket,payment,socket,2,mem,6,-0.2928953802785137,0.1690308509457033,-0.50709255283711,0.3718678720805473,0.5,0.0,1.0
payment_socket,payment,socket,3,cpu,6,-0.22353014112872133,0.6982532518267538,-0.50709255283711,-0.15179418517972906,0.5,0.0,0.5
payment_socket,payment,socket,3,mem,6,-0.22353014112872133,0.14285714285714288,-0.1690308509457033,-0.14285714285714288,0.5,0.5,0.5
user_cpu,user,cpu,1,cpu,6,30.278749083954825,0.5428571428571429,0.0,-0.4285714285714286,0.5,0.5,0.0
user_cpu,user,cpu,1,mem,6,30.278749083954825,0.8285714285714287,0.0,-0.028571428571428574,1.0,0.5,0.5
user_cpu,user,cpu,2,cpu,6,29.93242255723212,0.6,-0.6210590034081188,0.2571428571428572,0.5,0.0,0.5
user_cpu,user,cpu,2,mem,6,29.93242255723212,0.9856107606091624,0.20701966780270628,-0.8116794499134278,1.0,0.5,0.0
user_cpu,user,cpu,3,cpu,6,-0.44717944947763477,-0.08696565534786727,0.6210590034081188,-0.753702346348183,0.5,0.5,0.0
user_cpu,user,cpu,3,mem,6,-0.44717944947763477,-0.6571428571428573,-0.41403933560541256,0.2571428571428572,0.0,0.0,0.5
user_delay,user,delay,1,cpu,6,-1.7128728466169743,-0.2571428571428572,0.8280786712108251,0.4285714285714286,0.5,1.0,1.0
user_delay,user,delay,1,mem,6,-1.7128728466169743,-0.9411239481143202,0.0,-0.21251185925162072,0.0,0.5,0.5
user_delay,user,delay,2,cpu,6,-9.619378348272738,-0.3946648814672956,0.20701966780270628,-0.8804062740424288,0.5,0.5,0.0
user_delay,user,delay,2,mem,6,-9.619378348272738,0.13093073414159545,0.0,0.6546536707079772,0.5,0.5,0.5
