mode,shuffled,n_train,n_test,model,skill,mape,parent,child,n_calls
ood,True,201,99,constant,0.0,5.759726501431948,24601dd8b36f,643bce6326e3,20840
ood,True,201,99,uniform_delta,-3.966785533700394,12.215120352210254,24601dd8b36f,643bce6326e3,20840
ood,True,201,99,graph_LinearReg,-0.009947482001596342,5.763828754425049,24601dd8b36f,643bce6326e3,20840
ood,True,201,99,graph_NNLS,-2.0442480597182566e-08,5.759726047515869,24601dd8b36f,643bce6326e3,20840
indist,True,210,90,constant,0.0,12.554086948129992,563ba0438604,678850bc90f0,19997
indist,True,210,90,uniform_delta,-0.18213001552587138,12.798698813924329,563ba0438604,678850bc90f0,19997
indist,True,210,90,graph_LinearReg,-0.008624275726188069,12.652322769165039,563ba0438604,678850bc90f0,19997
indist,True,210,90,graph_NNLS,1.2466851218029262e-08,12.554088592529297,563ba0438604,678850bc90f0,19997
ood,True,201,99,constant,0.0,12.791796362537214,563ba0438604,678850bc90f0,19997
ood,True,201,99,uniform_delta,-0.558003278327714,16.198916933847233,563ba0438604,678850bc90f0,19997
ood,True,201,99,graph_LinearReg,0.00653215634672677,12.395994186401367,563ba0438604,678850bc90f0,19997
ood,True,201,99,graph_NNLS,-2.483934169461577e-09,12.79179573059082,563ba0438604,678850bc90f0,19997
indist,True,210,90,constant,0.0,3.404108810862786,24601dd8b36f,2abd05990aa9,19628
indist,True,210,90,uniform_delta,-3.602140878567396,7.872479712218819,24601dd8b36f,2abd05990aa9,19628
indist,True,210,90,graph_LinearReg,0.011951761353158785,3.4004170894622803,24601dd8b36f,2abd05990aa9,19628
indist,True,210,90,graph_NNLS,2.2871476046404382e-08,3.404108762741089,24601dd8b36f,2abd05990aa9,19628
ood,True,201,99,constant,0.0,4.225616147427579,24601dd8b36f,2abd05990aa9,19628
ood,True,201,99,uniform_delta,-6.2132086810297,12.705362050257413,24601dd8b36f,2abd05990aa9,19628
ood,True,201,99,graph_LinearReg,-0.04716330589130635,4.388398170471191,24601dd8b36f,2abd05990aa9,19628
ood,True,201,99,graph_NNLS,3.5556422917082386e-08,4.225615978240967,24601dd8b36f,2abd05990aa9,19628
indist,True,210,90,constant,0.0,5.521040343473301,643bce6326e3,e9916393b398,16966
indist,True,210,90,uniform_delta,-0.6038995963618965,6.155238842674442,643bce6326e3,e9916393b398,16966
indist,True,210,90,graph_LinearReg,-0.009505855739273317,5.544774055480957,643bce6326e3,e9916393b398,16966
indist,True,210,90,graph_NNLS,-7.59875495859319e-09,5.521040439605713,643bce6326e3,e9916393b398,16966
ood,True,201,99,constant,0.0,5.173328406911231,643bce6326e3,e9916393b398,16966
ood,True,201,99,uniform_delta,-2.7457305725228913,9.876711101710868,643bce6326e3,e9916393b398,16966
ood,True,201,99,graph_LinearReg,0.0095682382943586,5.105535507202148,643bce6326e3,e9916393b398,16966
ood,True,201,99,graph_NNLS,0.00956844890534625,5.105533599853516,643bce6326e3,e9916393b398,16966
indist,True,210,90,constant,0.0,5.980314819725945,adc1fdeea203,d6d9fc487215,14911
indist,True,210,90,uniform_delta,-0.692791837421511,7.996002131941429,adc1fdeea203,d6d9fc487215,14911
indist,True,210,90,graph_LinearReg,0.001515643408852907,5.970062732696533,adc1fdeea203,d6d9fc487215,14911
indist,True,210,90,graph_NNLS,0.001515532509286599,5.970062732696533,adc1fdeea203,d6d9fc487215,14911
ood,True,201,99,constant,0.0,6.415541860352479,adc1fdeea203,d6d9fc487215,14911
