evaluation_protocol,risk_threshold,service,metric,unit,n_train,n_fit,n_test,wl_train,wl_test,model,mape_pct,smape_pct,rmse,nrmse,mae,r2,mape_full_res_pct,mae_full_res,rmse_full_res,r2_full_res,n_test_full_res,train_time_s
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,carts,Socket,cnt,43416,2000,21384,0.0-8.5,8.5-13.7,LinearReg,28.79,25.14,3.693,1.9945,3.6836,-30.531,47.28,5.7535,7.3553,-0.323,21384,0.0
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,carts,Socket,cnt,43416,2000,21384,0.0-8.5,8.5-13.7,GradBoost,8.76,8.26,1.2719,0.6869,1.0886,-2.74,28.56,3.888,6.4826,-0.028,21384,0.07
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,carts,Socket,cnt,43416,2000,21384,0.0-8.5,8.5-13.7,GaussianProcess,6.62,6.19,1.308,0.7064,0.8199,-2.955,23.41,3.423,6.4959,-0.032,21384,19.69
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,carts,Socket,cnt,43416,2000,21384,0.0-8.5,8.5-13.7,SCM_Auto,5.33,5.16,0.8895,0.4804,0.6708,-0.829,21.87,3.2538,6.3951,-0.0,21384,0.37
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,carts,Socket,cnt,43416,2000,21384,0.0-8.5,8.5-13.7,SCM_Deployed,48.15,38.57,6.1949,3.3458,6.1239,-87.726,63.76,7.4953,8.6124,-0.814,21384,0.01
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,orders,Socket,cnt,43410,2000,21382,0.0-2.2,2.2-15.1,LinearReg,9.15,8.72,1.6014,1.8763,1.5269,-36.438,17.44,2.8403,3.7806,-0.196,21382,0.0
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,orders,Socket,cnt,43410,2000,21382,0.0-2.2,2.2-15.1,GradBoost,9.45,9.93,1.5959,1.8699,1.5743,-36.184,11.62,2.2304,3.7933,-0.204,21382,0.05
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,orders,Socket,cnt,43410,2000,21382,0.0-2.2,2.2-15.1,GaussianProcess,10.24,10.89,1.8128,2.1239,1.6963,-46.975,12.61,2.3769,3.8481,-0.239,21382,27.62
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,orders,Socket,cnt,43410,2000,21382,0.0-2.2,2.2-15.1,SCM_Auto,9.26,9.73,1.5772,1.8479,1.5442,-35.316,11.77,2.2645,3.8363,-0.232,21382,1.58
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,orders,Socket,cnt,43410,2000,21382,0.0-2.2,2.2-15.1,SCM_Deployed,9.28,8.83,1.6423,1.9242,1.5488,-38.377,17.44,2.8403,3.7806,-0.196,21382,0.01
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,payment,Socket,cnt,43416,2000,21384,0.0-2.2,2.2-3.7,LinearReg,1.73,1.75,0.1022,0.6414,0.0854,-2.916,15.23,0.7188,0.9505,-0.006,21384,0.0
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,payment,Socket,cnt,43416,2000,21384,0.0-2.2,2.2-3.7,GradBoost,4.71,4.83,0.2381,1.4934,0.2324,-20.232,15.89,0.7797,0.9757,-0.06,21384,0.05
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,payment,Socket,cnt,43416,2000,21384,0.0-2.2,2.2-3.7,GaussianProcess,0.95,0.95,0.0535,0.3355,0.0466,-0.072,15.1,0.7051,0.9475,0.0,21384,25.5
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,payment,Socket,cnt,43416,2000,21384,0.0-2.2,2.2-3.7,SCM_Auto,1.62,1.6,0.091,0.5707,0.0791,-2.101,15.81,0.7725,0.9705,-0.049,21384,0.2
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,payment,Socket,cnt,43416,2000,21384,0.0-2.2,2.2-3.7,SCM_Deployed,2.18,2.15,0.13,0.8158,0.1068,-5.336,15.46,0.705,0.956,-0.018,21384,0.01
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,shipping,Socket,cnt,43416,2000,21384,0.0-2.2,2.2-4.0,LinearReg,5.65,5.48,0.343,2.7965,0.331,-72.931,7.91,0.4326,0.6354,-0.328,21384,0.0
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,shipping,Socket,cnt,43416,2000,21384,0.0-2.2,2.2-4.0,GradBoost,2.32,2.29,0.1412,1.1516,0.1355,-11.538,5.68,0.3077,0.5709,-0.072,21384,0.06
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,shipping,Socket,cnt,43416,2000,21384,0.0-2.2,2.2-4.0,GaussianProcess,1.53,1.55,0.1153,0.9401,0.0901,-7.354,7.39,0.422,0.559,-0.028,21384,28.0
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,shipping,Socket,cnt,43416,2000,21384,0.0-2.2,2.2-4.0,SCM_Auto,0.55,0.55,0.0407,0.3316,0.0325,-0.04,7.28,0.415,0.5536,-0.008,21384,0.22
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,shipping,Socket,cnt,43416,2000,21384,0.0-2.2,2.2-4.0,SCM_Deployed,5.83,5.65,0.358,2.9188,0.342,-79.539,7.91,0.4326,0.6354,-0.328,21384,0.01
