repeat,service,hops,group,change_pct,z_score,anomaly_score,shapley_contribution,risk_level
5,ts-preserve-other-service,-1,unreachable,5.24,0.054,0.5409,0.12,normal
5,ts-consign-price-service,-1,unreachable,5.98,0.0631,0.5341,0.0798,normal
5,ts-consign-service,-1,unreachable,8.41,0.1119,0.5358,0.0753,normal
5,ts-admin-basic-info-service,-1,unreachable,-1.58,0.0161,0.5884,0.0619,normal
5,ts-admin-travel-service,-1,unreachable,3.14,0.0341,0.5688,0.0405,normal
6,ts-ui-dashboard,-1,unreachable,0.93,0.0769,0.1165,0.491,normal
6,ts-station-service,1,reachable,2.01,0.0446,0.247,0.4017,normal
6,ts-order-other-service,2,reachable,-0.19,0.0034,0.2156,0.3416,normal
6,ts-basic-service,2,reachable,4.16,0.0905,0.2255,0.3226,normal
6,ts-auth-service,-1,unreachable,-1.2,0.0897,0.1403,0.3194,normal
6,ts-order-service,1,reachable,5.18,0.0645,0.3465,0.3123,normal
6,ts-train-service,2,reachable,1.07,0.017,0.0877,0.3076,normal
6,ts-route-service,2,reachable,1.28,0.0222,0.2651,0.2993,normal
6,ts-seat-service,1,reachable,4.62,0.0723,0.3132,0.2972,normal
6,ts-ticketinfo-service,1,reachable,3.69,0.0784,0.0356,0.2677,normal
6,ts-price-service,3,reachable,1.81,0.0196,0.4956,0.2604,normal
6,ts-config-service,2,reachable,0.83,0.0105,0.3255,0.2524,normal
6,ts-travel-service,1,reachable,9.46,0.1227,0.1766,0.2389,normal
6,ts-travel2-service,-1,unreachable,-1.63,0.0302,0.3579,0.2386,normal
6,ts-food-map-service,2,reachable,4.56,0.0424,0.5759,0.2131,normal
6,ts-preserve-service,0,injection_self,31.87,0.3414,0.3898,0.2128,normal
6,ts-security-service,1,reachable,11.81,0.1325,0.4062,0.2046,normal
6,ts-food-service,1,reachable,6.06,0.0696,0.5256,0.1887,normal
6,ts-admin-travel-service,-1,unreachable,0.82,0.0089,0.5741,0.1677,normal
6,ts-preserve-other-service,-1,unreachable,-3.05,0.0314,0.4137,0.1677,normal
6,ts-assurance-service,1,reachable,14.94,0.1449,0.6729,0.1645,normal
6,ts-consign-price-service,-1,unreachable,2.52,0.0266,0.5256,0.1482,normal
6,ts-user-service,1,reachable,34.71,0.3227,0.9511,0.1132,normal
6,ts-contacts-service,1,reachable,15.14,0.1604,0.6554,0.113,normal
6,ts-admin-basic-info-service,-1,unreachable,-0.4,0.004,0.6788,0.0999,normal
6,ts-consign-service,-1,unreachable,5.95,0.0792,0.5088,0.073,normal
6,ts-inside-payment-service,-1,unreachable,2.54,0.013,0.848,0.0679,normal
6,ts-payment-service,-1,unreachable,6.35,0.0635,0.6176,0.0443,normal
7,ts-auth-service,-1,unreachable,0.22,0.0164,0.0429,0.483,normal
7,ts-station-service,1,reachable,-4.89,0.1086,0.0398,0.4562,normal
7,ts-ticketinfo-service,1,reachable,0.72,0.0153,0.1031,0.3964,normal
7,ts-ui-dashboard,-1,unreachable,-0.33,0.0273,0.2045,0.3673,normal
7,ts-basic-service,2,reachable,2.18,0.0474,0.2143,0.3524,normal
7,ts-order-other-service,2,reachable,-1.09,0.019,0.1484,0.351,normal
7,ts-route-service,2,reachable,-2.44,0.0425,0.004,0.3422,normal
7,ts-config-service,2,reachable,1.09,0.0137,0.5273,0.3117,normal
7,ts-travel2-service,-1,unreachable,-1.93,0.0356,0.4198,0.3086,normal
7,ts-train-service,2,reachable,0.0,0.0,0.0877,0.3023,normal
7,ts-travel-service,1,reachable,7.9,0.1024,0.0812,0.2554,normal
7,ts-security-service,1,reachable,13.43,0.1507,0.3104,0.2526,normal
7,ts-seat-service,1,reachable,3.22,0.0504,0.1683,0.2515,normal
7,ts-consign-price-service,-1,unreachable,-5.01,0.0528,0.3536,0.2498,normal
7,ts-price-service,3,reachable,0.96,0.0104,0.5705,0.2428,normal
7,ts-assurance-service,1,reachable,8.7,0.0844,0.4665,0.2427,normal
7,ts-admin-travel-service,-1,unreachable,-6.61,0.0719,0.4032,0.1931,normal
7,ts-preserve-other-service,-1,unreachable,-1.69,0.0174,0.4826,0.1801,normal
7,ts-preserve-service,0,injection_self,37.94,0.4065,0.5205,0.1465,normal
7,ts-user-service,1,reachable,16.08,0.1495,0.5866,0.1458,normal
7,ts-inside-payment-service,-1,unreachable,11.23,0.0573,1.0347,0.1452,normal
7,ts-contacts-service,1,reachable,10.66,0.1129,0.5848,0.144,normal
7,ts-admin-basic-info-service,-1,unreachable,-7.7,0.0783,0.5635,0.144,normal
7,ts-order-service,1,reachable,10.07,0.1255,0.5582,0.1413,normal
7,ts-food-service,1,reachable,9.4,0.1079,0.5172,0.1392,normal
7,ts-food-map-service,2,reachable,8.67,0.0805,0.6084,0.1287,normal
7,ts-consign-service,-1,unreachable,3.66,0.0487,0.4826,0.1126,normal
7,ts-payment-service,-1,unreachable,-1.42,0.0143,0.5565,0.0841,normal
8,ts-auth-service,-1,unreachable,0.34,0.0254,0.0151,0.495,normal
8,ts-station-service,1,reachable,-0.77,0.0172,0.1131,0.4427,normal
8,ts-ui-dashboard,-1,unreachable,-0.24,0.0197,0.1648,0.3752,normal
8,ts-ticketinfo-service,1,reachable,1.97,0.0418,0.0844,0.3744,normal
8,ts-route-service,2,reachable,-1.59,0.0277,0.0356,0.3429,normal
8,ts-train-service,2,reachable,-2.38,0.0377,0.138,0.3332,normal
8,ts-price-service,3,reachable,-0.14,0.0015,0.5222,0.3314,normal
8,ts-order-other-service,2,reachable,0.69,0.012,0.2343,0.3051,normal
8,ts-basic-service,2,reachable,1.86,0.0405,0.1131,0.276,normal
8,ts-security-service,1,reachable,12.14,0.1361,0.3283,0.271,normal
8,ts-contacts-service,1,reachable,8.32,0.0882,0.4973,0.27,normal
8,ts-config-service,2,reachable,1.69,0.0214,0.4476,0.2592,normal
8,ts-seat-service,1,reachable,3.88,0.0606,0.1531,0.254,normal
8,ts-consign-service,-1,unreachable,-1.13,0.015,0.4092,0.2435,normal
8,ts-travel-service,1,reachable,11.53,0.1495,0.1935,0.2365,normal
8,ts-food-map-service,2,reachable,3.55,0.033,0.5239,0.2347,normal
8,ts-travel2-service,-1,unreachable,-1.26,0.0233,0.2743,0.2276,normal
8,ts-order-service,1,reachable,10.52,0.1312,0.429,0.2071,normal
8,ts-user-service,1,reachable,21.19,0.197,0.667,0.1762,normal
8,ts-preserve-service,0,injection_self,34.72,0.3719,0.4244,0.16,normal
8,ts-preserve-other-service,-1,unreachable,-1.42,0.0146,0.5461,0.1576,normal
8,ts-payment-service,-1,unreachable,-0.79,0.0079,0.5513,0.1505,normal
8,ts-food-service,1,reachable,9.09,0.1043,0.5776,0.1339,normal
8,ts-assurance-service,1,reachable,16.86,0.1636,0.6158,0.1277,normal
8,ts-inside-payment-service,-1,unreachable,2.81,0.0144,0.9081,0.0998,normal
8,ts-consign-price-service,-1,unreachable,4.53,0.0477,0.6729,0.0918,normal
8,ts-admin-travel-service,-1,unreachable,4.68,0.0508,0.6029,0.0758,normal
8,ts-admin-basic-info-service,-1,unreachable,-1.33,0.0136,0.5548,0.0366,normal
9,ts-ui-dashboard,-1,unreachable,0.94,0.0781,0.1415,0.4551,normal
9,ts-auth-service,-1,unreachable,-0.09,0.0064,0.0998,0.4551,normal
9,ts-order-other-service,2,reachable,1.36,0.0236,0.1671,0.3444,normal
9,ts-station-service,1,reachable,2.09,0.0464,0.1935,0.3374,normal
9,ts-ticketinfo-service,1,reachable,5.13,0.1087,0.0565,0.333,normal
9,ts-order-service,1,reachable,8.37,0.1044,0.3451,0.301,normal
9,ts-price-service,3,reachable,3.64,0.0393,0.5307,0.2868,normal
9,ts-security-service,1,reachable,12.44,0.1396,0.2969,0.261,normal
9,ts-train-service,2,reachable,5.22,0.0827,0.2106,0.2495,normal
9,ts-config-service,2,reachable,9.25,0.1168,0.6867,0.2298,normal
9,ts-food-service,1,reachable,8.02,0.092,0.4907,0.2229,normal
9,ts-food-map-service,2,reachable,9.57,0.0889,0.6651,0.2187,normal
9,ts-route-service,2,reachable,3.6,0.0626,0.3283,0.2173,normal
9,ts-travel2-service,-1,unreachable,-0.01,0.0001,0.3869,0.2036,normal
9,ts-payment-service,-1,unreachable,-4.86,0.0486,0.3958,0.1996,normal
9,ts-seat-service,1,reachable,9.42,0.1473,0.4321,0.1992,normal
9,ts-inside-payment-service,-1,unreachable,12.17,0.0621,1.1478,0.1989,normal
9,ts-contacts-service,1,reachable,16.54,0.1753,0.6307,0.1988,normal
9,ts-preserve-service,0,injection_self,38.62,0.4137,0.4713,0.1959,normal
9,ts-basic-service,2,reachable,6.32,0.1376,0.3118,0.1896,normal
9,ts-travel-service,1,reachable,14.29,0.1853,0.3214,0.1841,normal
9,ts-consign-service,-1,unreachable,4.09,0.0544,0.5358,0.1597,normal
9,ts-preserve-other-service,-1,unreachable,4.08,0.042,0.5122,0.1118,normal
9,ts-consign-price-service,-1,unreachable,2.68,0.0282,0.4907,0.1118,normal
9,ts-admin-travel-service,-1,unreachable,0.52,0.0057,0.4973,0.1077,normal
9,ts-assurance-service,1,reachable,18.97,0.184,0.6382,0.1075,normal
9,ts-user-service,1,reachable,28.79,0.2676,0.8456,0.0938,normal
9,ts-admin-basic-info-service,-1,unreachable,-2.34,0.0238,0.5794,0.008,normal
