scenario,fault,run_id,metric,service,parent,lag,n,marginal,residual_carry,counterfactual
user_cpu,cpu,1,cpu,user,front-end,15,706,94.51628904501473,12.748634601540967,12.50861387296212
user_cpu,cpu,1,cpu,user,front-end,30,691,94.73068241609151,12.96031983110425,12.677348664123375
user_cpu,cpu,1,cpu,orders,front-end,5,716,14.95193638373706,10.856653728718554,8.633710922839954
user_cpu,cpu,1,cpu,orders,front-end,15,706,14.988014897282268,20.242884957421182,15.01578322371461
user_cpu,cpu,1,cpu,orders,front-end,30,691,15.224777766171139,21.232015110339596,16.57534384617553
user_cpu,cpu,1,cpu,payment,orders,5,716,12.886952891601192,10.539146239711226,10.07038524545296
user_cpu,cpu,1,cpu,payment,orders,15,706,12.717437581126712,17.2754737983036,15.909700950440515
user_cpu,cpu,1,cpu,payment,orders,30,691,12.70963720714024,18.29563950617306,16.80584746693056
user_cpu,cpu,1,cpu,shipping,orders,5,716,14.756109531173745,11.597902652114907,11.524433566240516
user_cpu,cpu,1,cpu,shipping,orders,15,706,14.82872134544607,21.62193139380299,21.24803907745324
user_cpu,cpu,1,cpu,shipping,orders,30,691,15.077122054064349,29.828579688432296,29.27887972639656
user_cpu,cpu,1,mem,catalogue,front-end,5,716,2.5559221870965625,0.6906712871564674,0.4028202044130231
user_cpu,cpu,1,mem,catalogue,front-end,15,706,2.5532220006937636,1.7466869413002732,0.9712932638614382
user_cpu,cpu,1,mem,catalogue,front-end,30,691,2.5385637622249257,1.3969067494218386,0.7910090761881747
user_cpu,cpu,1,mem,carts,front-end,5,716,0.015529878439519983,0.002466287272829422,0.0017684054856159565
user_cpu,cpu,1,mem,carts,front-end,15,706,0.01564624581018964,0.005371749504589855,0.004232396479549839
user_cpu,cpu,1,mem,carts,front-end,30,691,0.015846442792122772,0.0058673711517180874,0.005372636731039138
user_cpu,cpu,1,mem,user,front-end,5,716,40.04308273028796,0.5163945402154078,0.4168474451443718
user_cpu,cpu,1,mem,user,front-end,15,706,40.37241499665889,1.1599512245090946,0.9353178049157423
user_cpu,cpu,1,mem,user,front-end,30,691,40.378097547783746,1.241489158923594,0.9270212739029459
user_cpu,cpu,1,mem,orders,front-end,5,716,0.036294005104878076,0.00661517869621996,0.005256632564320612
user_cpu,cpu,1,mem,orders,front-end,15,706,0.03666730186855115,0.014344321726649598,0.013408599290483613
user_cpu,cpu,1,mem,orders,front-end,30,691,0.03736559203619874,0.015158934798373852,0.015287083539318303
user_cpu,cpu,1,mem,payment,orders,5,716,5.882412773224877,1.3110093564157672,1.2657384825734959
user_cpu,cpu,1,mem,payment,orders,15,706,5.820926951786882,3.6982996462486066,2.91348098848266
user_cpu,cpu,1,mem,payment,orders,30,691,5.853002013794471,3.3985595964162103,2.702726091834752
user_cpu,cpu,1,mem,shipping,orders,5,716,0.012126252653650277,0.0006754698378094613,0.000673240371182279
user_cpu,cpu,1,mem,shipping,orders,15,706,0.012272711002386943,0.0017474097971567181,0.001744625782804726
user_cpu,cpu,1,mem,shipping,orders,30,691,0.012527033113995353,0.0021858027168578983,0.0021830065771315716
user_cpu,cpu,2,cpu,catalogue,front-end,5,716,9.897552461418591,7.635745033453175,6.317686111050415
user_cpu,cpu,2,cpu,catalogue,front-end,15,706,9.976639450914062,14.415580753421612,10.823567974321191
user_cpu,cpu,2,cpu,catalogue,front-end,30,691,10.007533042739487,12.269734692879311,11.375918431395704
user_cpu,cpu,2,cpu,carts,front-end,5,716,10.407575380681893,9.111362162883651,7.4213379822220125
user_cpu,cpu,2,cpu,carts,front-end,15,706,10.172188394547058,14.54374123177855,10.467696189917435
user_cpu,cpu,2,cpu,carts,front-end,30,691,10.117444778681659,16.09048524920083,11.10690822815037
user_cpu,cpu,2,cpu,user,front-end,5,716,96.94814862916417,6.207508235128436,6.168926025252588
user_cpu,cpu,2,cpu,user,front-end,15,706,97.18241084562128,10.010807262792065,9.927349640956956
user_cpu,cpu,2,cpu,user,front-end,30,691,97.38891091446847,11.567821257170714,11.49680296377546
user_cpu,cpu,2,cpu,orders,front-end,5,714,15.75988633257906,12.918968720959962,9.611212975968126
user_cpu,cpu,2,cpu,orders,front-end,15,704,15.319669368759248,21.96958731838329,14.94045452030399
user_cpu,cpu,2,cpu,orders,front-end,30,689,14.578071754980936,22.96009080622986,17.666986291670934
user_cpu,cpu,2,cpu,payment,orders,5,716,12.024427313469552,8.662894606096003,8.373080282748262
user_cpu,cpu,2,cpu,payment,orders,15,706,11.844425526431252,15.348560084414506,13.912144945303655
user_cpu,cpu,2,cpu,payment,orders,30,691,11.698945188300613,15.224202274133697,14.384931387736257
user_cpu,cpu,2,cpu,shipping,orders,5,716,14.76799220972764,12.980757579977439,12.471356143355667
user_cpu,cpu,2,cpu,shipping,orders,15,706,13.890295955284525,21.42392518642764,19.676160752701893
user_cpu,cpu,2,cpu,shipping,orders,30,691,12.613861545645467,26.42302794565179,25.81285749484799
user_cpu,cpu,2,mem,catalogue,front-end,5,716,4.2143330810757975,0.5563115606737219,0.2896768411996641
user_cpu,cpu,2,mem,catalogue,front-end,15,706,4.225396897975683,1.445690538928585,0.7748633819103986
