label,target,repeat,scenario,true_tier,tier1_contrib,tier2_contrib,predicted_tier,correct
TrainTicket,ts-user-service_cpu,6,tier2_driven,tier2,-0.011943446440452418,0.45904524284763826,tier2,True
TrainTicket,ts-user-service_cpu,7,tier1_driven,tier1,0.0005222887558217915,0.18711044577511649,tier2,False
TrainTicket,ts-user-service_cpu,7,tier2_driven,tier2,-0.025209447771124414,0.5002713240186291,tier2,True
TrainTicket,ts-user-service_cpu,8,tier1_driven,tier1,0.045033666001330755,-0.025065602129075173,tier1,True
TrainTicket,ts-user-service_cpu,8,tier2_driven,tier2,-0.012468795741849595,0.4835266799733867,tier2,True
TrainTicket,ts-user-service_cpu,9,tier1_driven,tier1,0.033422887558216825,-0.097303127079175,tier2,False
TrainTicket,ts-user-service_cpu,9,tier2_driven,tier2,-0.018724151696606867,0.49777005988023937,tier2,True
TrainTicket,ts-travel-service_cpu,0,tier1_driven,tier1,0.0012434331337324717,-0.1409719760479042,tier2,False
TrainTicket,ts-travel-service_cpu,0,tier2_driven,tier2,-0.014504750499001918,0.5015346906187628,tier2,True
TrainTicket,ts-travel-service_cpu,1,tier1_driven,tier1,0.04745964071856271,-0.019519520958083868,tier1,True
TrainTicket,ts-travel-service_cpu,1,tier2_driven,tier2,-0.01402139720558887,0.49305532934131724,tier2,True
TrainTicket,ts-travel-service_cpu,2,tier1_driven,tier1,0.02730842315369253,-0.0632445508982036,tier2,False
TrainTicket,ts-travel-service_cpu,2,tier2_driven,tier2,-0.025009341317365215,0.4881031536926146,tier2,True
TrainTicket,ts-travel-service_cpu,3,tier1_driven,tier1,0.029363033932135803,-0.07327121756487025,tier2,False
TrainTicket,ts-travel-service_cpu,3,tier2_driven,tier2,-0.007719121756487028,0.4907450698602795,tier2,True
TrainTicket,ts-travel-service_cpu,4,tier1_driven,tier1,0.01715017964071859,0.03873005988023951,tier2,False
TrainTicket,ts-travel-service_cpu,4,tier2_driven,tier2,-0.009959600798403136,0.49299353293413184,tier2,True
TrainTicket,ts-travel-service_cpu,5,tier1_driven,tier1,0.02460487025948105,-0.14434938123752494,tier2,False
TrainTicket,ts-travel-service_cpu,5,tier2_driven,tier2,-0.011441596806387283,0.4705074650698605,tier2,True
TrainTicket,ts-travel-service_cpu,6,tier1_driven,tier1,0.023692295409181587,-0.1753809181636727,tier2,False
TrainTicket,ts-travel-service_cpu,6,tier2_driven,tier2,-0.01803992015968069,0.4970698602794409,tier2,True
TrainTicket,ts-travel-service_cpu,7,tier1_driven,tier1,0.03887616766467085,0.032988103792415215,tier1,True
TrainTicket,ts-travel-service_cpu,7,tier2_driven,tier2,-0.019505788423153685,0.48257564870259473,tier2,True
TrainTicket,ts-travel-service_cpu,8,tier1_driven,tier1,0.0350013572854291,0.05682698602794407,tier2,False
TrainTicket,ts-travel-service_cpu,8,tier2_driven,tier2,-0.014072814371257252,0.4851346906187625,tier2,True
