label,target,repeat,scenario,true_tier,true_upstream,tier1_contrib,backpressure_contrib,tier2_contrib,strict_pred,strict_correct,upstream_pred,upstream_correct
TrainTicket,ts-order-service_cpu,3,tier1_driven,tier1,upstream,0.01617852295409189,-0.09530347305389222,-0.12045988023952095,tier2,False,local,False
TrainTicket,ts-order-service_cpu,3,tier2_driven,tier2,local,-0.005461876247505002,-0.049563912175648706,0.5419998403193614,tier2,True,local,True
TrainTicket,ts-order-service_cpu,4,tier1_driven,tier1,upstream,0.03705868263473063,-0.06933333333333327,-0.07155768463073851,tier2,False,local,False
TrainTicket,ts-order-service_cpu,4,tier2_driven,tier2,local,-0.0030673053892215467,-0.039727584830339294,0.5378647504990021,tier2,True,local,True
TrainTicket,ts-order-service_cpu,5,tier1_driven,tier1,upstream,0.026082075848303358,-0.08699912175648701,-0.11475161676646703,tier2,False,local,False
TrainTicket,ts-order-service_cpu,5,tier2_driven,tier2,local,-0.0028289021956087734,-0.06208526946107788,0.5479600798403195,tier2,True,local,True
TrainTicket,ts-order-service_cpu,6,tier1_driven,tier1,upstream,0.022423952095808344,-0.06665644710578843,-0.12344015968063873,tier2,False,local,False
TrainTicket,ts-order-service_cpu,6,tier2_driven,tier2,local,-0.0019586427145709107,-0.042590339321357244,0.5315948902195611,tier2,True,local,True
TrainTicket,ts-order-service_cpu,7,tier1_driven,tier1,upstream,0.02967664670658685,-0.05957588822355287,-0.061933093812375245,tier2,False,local,False
TrainTicket,ts-order-service_cpu,7,tier2_driven,tier2,local,-0.004326067864271451,-0.05627944111776448,0.5435755688622755,tier2,True,local,True
TrainTicket,ts-order-service_cpu,8,tier1_driven,tier1,upstream,0.04082347305389233,-0.07178666666666661,-0.09282522954091814,tier2,False,local,False
TrainTicket,ts-order-service_cpu,8,tier2_driven,tier2,local,-0.00013141716566864145,-0.06565253493013976,0.5608138922155688,tier2,True,local,True
TrainTicket,ts-order-service_cpu,9,tier1_driven,tier1,upstream,0.02709988023952094,-0.10672015968063883,-0.17586475049900194,tier2,False,local,False
TrainTicket,ts-order-service_cpu,9,tier2_driven,tier2,local,-0.0026353692614770187,-0.052280079840319245,0.5419014770459083,tier2,True,local,True
TrainTicket,ts-user-service_cpu,0,tier1_driven,tier1,upstream,0.05897485029940113,0.006511137724550878,-0.08145405189620761,tier2,False,local,False
TrainTicket,ts-user-service_cpu,0,tier2_driven,tier2,local,-0.013650139720558882,-0.042947385229540974,0.535671377245509,tier2,True,local,True
TrainTicket,ts-user-service_cpu,1,tier1_driven,tier1,upstream,0.06840814371257486,-0.016410059880239528,-0.040038003992015965,tier1,True,upstream,True
TrainTicket,ts-user-service_cpu,1,tier2_driven,tier2,local,-0.01378954091816369,-0.05422754491017963,0.5630230738522954,tier2,True,local,True
TrainTicket,ts-user-service_cpu,2,tier1_driven,tier1,upstream,0.06081708582834338,-0.0035645508982035997,-0.04524055888223549,tier1,True,upstream,True
TrainTicket,ts-user-service_cpu,2,tier2_driven,tier2,local,-0.010437365269461006,-0.03442427145708579,0.5318716167664672,tier2,True,local,True
TrainTicket,ts-user-service_cpu,3,tier1_driven,tier1,upstream,0.05869333333333337,-0.03506810379241519,-0.12340566866267468,tier2,False,local,False
TrainTicket,ts-user-service_cpu,3,tier2_driven,tier2,local,-0.01201405189620759,-0.045022115768463114,0.5360661077844311,tier2,True,local,True
TrainTicket,ts-user-service_cpu,4,tier1_driven,tier1,upstream,0.05364982035928152,0.00043241516966071106,-0.04609820359281436,tier1,True,upstream,True
TrainTicket,ts-user-service_cpu,4,tier2_driven,tier2,local,-0.008064031936127777,-0.052730698602794404,0.5398166866267463,tier2,True,local,True
TrainTicket,ts-user-service_cpu,5,tier1_driven,tier1,upstream,0.05585996007984033,-0.029880718562874248,-0.10979960079840319,tier2,False,local,False
TrainTicket,ts-user-service_cpu,5,tier2_driven,tier2,local,-0.008519920159680613,-0.04717508982035928,0.5387129740518962,tier2,True,local,True
TrainTicket,ts-user-service_cpu,6,tier1_driven,tier1,upstream,0.07750850299401206,-0.017252055888223542,-0.08018858283433133,tier2,False,local,False
TrainTicket,ts-user-service_cpu,6,tier2_driven,tier2,local,-0.011500838323353278,-0.04426443113772459,0.5387992015968064,tier2,True,local,True
TrainTicket,ts-user-service_cpu,7,tier1_driven,tier1,upstream,0.07371624750499012,-0.01758626746506975,0.00770235528942117,tier1,True,upstream,True
TrainTicket,ts-user-service_cpu,7,tier2_driven,tier2,local,-0.016247984031936155,-0.0408922954091816,0.5441223153692617,tier2,True,local,True
