label,delta_pct,node,tier,projected_mean,train_p95,train_max,ood_confidence
SockShop,30,shipping_mem,tier2,301392745.81333333,307023872.0,604696576.0,high
SockShop,30,shipping_latency-50,tier2,0.0033286655765231445,0.004960949764521125,2.5,high
SockShop,35,catalogue_workload,tier1,5.6420930479331055,4.667,5.933,low
SockShop,35,carts_workload,tier1,11.046557321828368,9.667,13.733,low
SockShop,35,user_workload,tier1,22.290668027840816,21.8,30.067,low
SockShop,35,orders_workload,tier1,2.234610350805012,2.667,15.067,high
SockShop,35,payment_workload,tier1,2.1863175462642745,2.667,3.733,high
SockShop,35,shipping_workload,tier1,2.1851278477216036,2.667,4.0,high
SockShop,35,front-end_cpu,tier2,5.261483546978014,5.168494277294224,6.883132899533267,low
SockShop,35,front-end_mem,tier2,105498883.41333333,110325760.0,358322176.0,high
SockShop,35,front-end_latency-50,tier2,0.04886241666619504,0.0440425531914893,0.0583941605839415,low
SockShop,35,catalogue_cpu,tier2,0.450340656885569,0.2086698079014107,49.028625708884505,low
SockShop,35,catalogue_mem,tier2,6189506.56,6524928.0,329572352.0,high
SockShop,35,catalogue_latency-50,tier2,0.003064709889385636,0.0031428571428571,0.14601266373267,high
SockShop,35,user_cpu,tier2,0.9665094586531321,1.154028797755648,1.6543799486507298,high
SockShop,35,user_mem,tier2,8029784.746666667,9162752.0,14548992.0,high
SockShop,35,user_latency-50,tier2,0.004300064553271146,0.0056605922551252,0.0175,high
SockShop,35,carts_cpu,tier2,2.685758348082745,5.5648055996062755,48.76569806376475,high
SockShop,35,carts_mem,tier2,214818119.68,222748672.0,432041984.0,high
SockShop,35,carts_latency-50,tier2,0.26074222703926436,1.1874999999999998,5.5,high
SockShop,35,orders_cpu,tier2,2.500941201050488,5.602826944199368,80.04373168689828,high
SockShop,35,orders_mem,tier2,332623439.77144605,336138240.0,656744448.0,high
SockShop,35,orders_latency-50,tier2,0.07443404621323736,0.5000000000000001,2.125,high
SockShop,35,payment_cpu,tier2,0.08527778209696656,0.1010122448979587,19.838419782870968,high
SockShop,35,payment_mem,tier2,4584038.4,5140480.0,7991296.0,high
SockShop,35,payment_latency-50,tier2,0.002380004602408106,0.0028095238095238,0.005,high
SockShop,35,shipping_cpu,tier2,0.6309430660306534,1.788315640825861,13.558962604157635,high
SockShop,35,shipping_mem,tier2,302344314.88,307023872.0,604696576.0,high
SockShop,35,shipping_latency-50,tier2,0.0033381902113576657,0.004960949764521125,2.5,high
SockShop,40,catalogue_workload,tier1,5.830430924020819,4.667,5.933,low
SockShop,40,carts_workload,tier1,11.649934224346083,9.667,13.733,low
SockShop,40,user_workload,tier1,23.004449795294075,21.8,30.067,low
SockShop,40,orders_workload,tier1,2.2928005453839946,2.667,15.067,high
SockShop,40,payment_workload,tier1,2.214634951355728,2.667,3.733,high
SockShop,40,shipping_workload,tier1,2.239588985434639,2.667,4.0,high
SockShop,40,front-end_cpu,tier2,5.3716843525761275,5.168494277294224,6.883132899533267,low
SockShop,40,front-end_mem,tier2,105315669.33333333,110325760.0,358322176.0,high
SockShop,40,front-end_latency-50,tier2,0.058436529235374714,0.0440425531914893,0.0583941605839415,low
SockShop,40,catalogue_cpu,tier2,0.30955376411962404,0.2086698079014107,49.028625708884505,low
SockShop,40,catalogue_mem,tier2,6180659.2,6524928.0,329572352.0,high
SockShop,40,catalogue_latency-50,tier2,0.0030692969725689464,0.0031428571428571,0.14601266373267,high
SockShop,40,user_cpu,tier2,0.963045593993299,1.154028797755648,1.6543799486507298,high
SockShop,40,user_mem,tier2,8097819.306666667,9162752.0,14548992.0,high
SockShop,40,user_latency-50,tier2,0.004469516749484265,0.0056605922551252,0.0175,high
SockShop,40,carts_cpu,tier2,2.319547510237241,5.5648055996062755,48.76569806376475,high
SockShop,40,carts_mem,tier2,213530801.49333334,222748672.0,432041984.0,high
SockShop,40,carts_latency-50,tier2,0.4952106382979279,1.1874999999999998,5.5,medium
SockShop,40,orders_cpu,tier2,2.605363717603003,5.602826944199368,80.04373168689828,high
SockShop,40,orders_mem,tier2,330814000.790604,336138240.0,656744448.0,high
SockShop,40,orders_latency-50,tier2,0.1015640089164905,0.5000000000000001,2.125,medium
SockShop,40,payment_cpu,tier2,0.08623580265243411,0.1010122448979587,19.838419782870968,high
SockShop,40,payment_mem,tier2,4594114.56,5140480.0,7991296.0,high
SockShop,40,payment_latency-50,tier2,0.0024002090882142423,0.0028095238095238,0.005,high
SockShop,40,shipping_cpu,tier2,0.6066906950411637,1.788315640825861,13.558962604157635,high
SockShop,40,shipping_mem,tier2,303664237.2266667,307023872.0,604696576.0,high
SockShop,40,shipping_latency-50,tier2,0.0032643572623459118,0.004960949764521125,2.5,high
SockShop,45,catalogue_workload,tier1,6.073366818168906,4.667,5.933,low
SockShop,45,carts_workload,tier1,11.947851947581503,9.667,13.733,low
SockShop,45,user_workload,tier1,23.68484552436798,21.8,30.067,low
SockShop,45,orders_workload,tier1,2.3285120183862653,2.667,15.067,high
SockShop,45,payment_workload,tier1,2.2494531733924736,2.667,3.733,high
SockShop,45,shipping_workload,tier1,2.275044324607461,2.667,4.0,high
SockShop,45,front-end_cpu,tier2,5.4635803934242855,5.168494277294224,6.883132899533267,low
SockShop,45,front-end_mem,tier2,104218473.81333333,110325760.0,358322176.0,high
SockShop,45,front-end_latency-50,tier2,0.07338893108767178,0.0440425531914893,0.0583941605839415,low
SockShop,45,catalogue_cpu,tier2,0.328487640485583,0.2086698079014107,49.028625708884505,low
SockShop,45,catalogue_mem,tier2,6182188.373333333,6524928.0,329572352.0,high
SockShop,45,catalogue_latency-50,tier2,0.003077293197641889,0.0031428571428571,0.14601266373267,high
SockShop,45,user_cpu,tier2,0.977651378204115,1.154028797755648,1.6543799486507298,high
SockShop,45,user_mem,tier2,8151613.44,9162752.0,14548992.0,high
SockShop,45,user_latency-50,tier2,0.004433905329539616,0.0056605922551252,0.0175,high
SockShop,45,carts_cpu,tier2,2.4063652925388808,5.5648055996062755,48.76569806376475,high
SockShop,45,carts_mem,tier2,213380928.85333332,222748672.0,432041984.0,high
