service,metric,mode,n_train,shuffled,n_test,model,skill,r2_signal,lambda
0801d3a1f4d2b1ca3e6a48a15c4acda1e2934a54d4c0262918c0e0d69bfbd895,cpu,ood,30,False,20,GradBoost,0.4173501675006136,0.4776911671360184,
0801d3a1f4d2b1ca3e6a48a15c4acda1e2934a54d4c0262918c0e0d69bfbd895,cpu,ood,30,False,20,ElasticityPrior,0.41211922438565807,0.4776911671360184,
0801d3a1f4d2b1ca3e6a48a15c4acda1e2934a54d4c0262918c0e0d69bfbd895,cpu,ood,30,False,20,ElasticityPooled,0.6321604307531512,0.4776911671360184,0.7218336644714787
089983f42a310dce1d956ff7d70959202eefdfc63e514e1caf6b17eedef8002f,cpu,indist,30,False,18,constant,0.0,0.13084803334612338,
089983f42a310dce1d956ff7d70959202eefdfc63e514e1caf6b17eedef8002f,cpu,indist,30,False,18,persistence,0.3675608958210784,0.13084803334612338,
089983f42a310dce1d956ff7d70959202eefdfc63e514e1caf6b17eedef8002f,cpu,indist,30,False,18,NNLS_deployed,0.43325671672517396,0.13084803334612338,
089983f42a310dce1d956ff7d70959202eefdfc63e514e1caf6b17eedef8002f,cpu,indist,30,False,18,LinearReg,0.4332571204781629,0.13084803334612338,
089983f42a310dce1d956ff7d70959202eefdfc63e514e1caf6b17eedef8002f,cpu,indist,30,False,18,Queueing,0.43325810102113615,0.13084803334612338,
089983f42a310dce1d956ff7d70959202eefdfc63e514e1caf6b17eedef8002f,cpu,indist,30,False,18,GradBoost,-3.0659105241804507,0.13084803334612338,
089983f42a310dce1d956ff7d70959202eefdfc63e514e1caf6b17eedef8002f,cpu,indist,30,False,18,ElasticityPrior,0.16769384076520477,0.13084803334612338,
089983f42a310dce1d956ff7d70959202eefdfc63e514e1caf6b17eedef8002f,cpu,indist,30,False,18,ElasticityPooled,0.16769384076520477,0.13084803334612338,0.0
089983f42a310dce1d956ff7d70959202eefdfc63e514e1caf6b17eedef8002f,cpu,ood,30,False,20,constant,0.0,0.13084803334612338,
089983f42a310dce1d956ff7d70959202eefdfc63e514e1caf6b17eedef8002f,cpu,ood,30,False,20,persistence,-0.8010425928209342,0.13084803334612338,
089983f42a310dce1d956ff7d70959202eefdfc63e514e1caf6b17eedef8002f,cpu,ood,30,False,20,NNLS_deployed,-2.0744152323888123,0.13084803334612338,
089983f42a310dce1d956ff7d70959202eefdfc63e514e1caf6b17eedef8002f,cpu,ood,30,False,20,LinearReg,-2.0744221035316803,0.13084803334612338,
089983f42a310dce1d956ff7d70959202eefdfc63e514e1caf6b17eedef8002f,cpu,ood,30,False,20,Queueing,-2.0744221035316803,0.13084803334612338,
089983f42a310dce1d956ff7d70959202eefdfc63e514e1caf6b17eedef8002f,cpu,ood,30,False,20,GradBoost,-0.6288542449401013,0.13084803334612338,
089983f42a310dce1d956ff7d70959202eefdfc63e514e1caf6b17eedef8002f,cpu,ood,30,False,20,ElasticityPrior,0.2621445562372632,0.13084803334612338,
089983f42a310dce1d956ff7d70959202eefdfc63e514e1caf6b17eedef8002f,cpu,ood,30,False,20,ElasticityPooled,0.2621445562372632,0.13084803334612338,0.0
09b4f1062ad1fae9a73b6bf0031638e844d6735a91ca73bd7ddcf8af088d2bdf,cpu,indist,30,False,18,constant,0.0,0.10477310623946791,
09b4f1062ad1fae9a73b6bf0031638e844d6735a91ca73bd7ddcf8af088d2bdf,cpu,indist,30,False,18,persistence,-0.6498307617099408,0.10477310623946791,
09b4f1062ad1fae9a73b6bf0031638e844d6735a91ca73bd7ddcf8af088d2bdf,cpu,indist,30,False,18,NNLS_deployed,0.14224379704590395,0.10477310623946791,
09b4f1062ad1fae9a73b6bf0031638e844d6735a91ca73bd7ddcf8af088d2bdf,cpu,indist,30,False,18,LinearReg,0.1422422279072817,0.10477310623946791,
